Year,Technique,Count
1971,X-ray diffraction,0
1972,X-ray diffraction,0
1973,X-ray diffraction,0
1974,X-ray diffraction,0
1975,X-ray diffraction,0
1976,X-ray diffraction,14
1977,X-ray diffraction,29
1978,X-ray diffraction,5
1979,X-ray diffraction,14
1980,X-ray diffraction,9
1981,X-ray diffraction,17
1982,X-ray diffraction,37
1983,X-ray diffraction,44
1984,X-ray diffraction,28
1985,X-ray diffraction,27
1986,X-ray diffraction,18
1987,X-ray diffraction,27
1988,X-ray diffraction,64
1989,X-ray diffraction,88
1990,X-ray diffraction,212
1991,X-ray diffraction,206
1992,X-ray diffraction,215
1993,X-ray diffraction,751
1994,X-ray diffraction,1421
1995,X-ray diffraction,956
1996,X-ray diffraction,1403
1997,X-ray diffraction,1625
1998,X-ray diffraction,2350
1999,X-ray diffraction,2666
2000,X-ray diffraction,3006
2001,X-ray diffraction,3454
2002,X-ray diffraction,3642
2003,X-ray diffraction,5185
2004,X-ray diffraction,6094
2005,X-ray diffraction,6398
2006,X-ray diffraction,7336
2007,X-ray diffraction,8256
2008,X-ray diffraction,8795
2009,X-ray diffraction,9122
2010,X-ray diffraction,9709
2011,X-ray diffraction,10139
2012,X-ray diffraction,11289
2013,X-ray diffraction,12927
2014,X-ray diffraction,21373
2015,X-ray diffraction,15604
2016,X-ray diffraction,17580
2017,X-ray diffraction,15323
2018,X-ray diffraction,15771
2019,X-ray diffraction,15025
2020,X-ray diffraction,16730
2021,X-ray diffraction,14611
2022,X-ray diffraction,15302
2023,X-ray diffraction,14470
2024,X-ray diffraction,14736
1971,Solution NMR,0
1972,Solution NMR,0
1973,Solution NMR,0
1974,Solution NMR,0
1975,Solution NMR,0
1976,Solution NMR,0
1977,Solution NMR,0
1978,Solution NMR,0
1979,Solution NMR,0
1980,Solution NMR,0
1981,Solution NMR,0
1982,Solution NMR,0
1983,Solution NMR,0
1984,Solution NMR,0
1985,Solution NMR,0
1986,Solution NMR,1
1987,Solution NMR,0
1988,Solution NMR,0
1989,Solution NMR,2
1990,Solution NMR,7
1991,Solution NMR,24
1992,Solution NMR,11
1993,Solution NMR,83
1994,Solution NMR,246
1995,Solution NMR,222
1996,Solution NMR,213
1997,Solution NMR,394
1998,Solution NMR,404
1999,Solution NMR,447
2000,Solution NMR,421
2001,Solution NMR,486
2002,Solution NMR,512
2003,Solution NMR,595
2004,Solution NMR,791
2005,Solution NMR,927
2006,Solution NMR,943
2007,Solution NMR,1051
2008,Solution NMR,725
2009,Solution NMR,656
2010,Solution NMR,613
2011,Solution NMR,594
2012,Solution NMR,609
2013,Solution NMR,558
2014,Solution NMR,642
2015,Solution NMR,476
2016,Solution NMR,526
2017,Solution NMR,446
2018,Solution NMR,443
2019,Solution NMR,426
2020,Solution NMR,416
2021,Solution NMR,407
2022,Solution NMR,335
2023,Solution NMR,274
2024,Solution NMR,310
1971,Electron Microscopy,0
1972,Electron Microscopy,0
1973,Electron Microscopy,0
1974,Electron Microscopy,0
1975,Electron Microscopy,0
1976,Electron Microscopy,0
1977,Electron Microscopy,0
1978,Electron Microscopy,0
1979,Electron Microscopy,0
1980,Electron Microscopy,0
1981,Electron Microscopy,0
1982,Electron Microscopy,0
1983,Electron Microscopy,0
1984,Electron Microscopy,0
1985,Electron Microscopy,0
1986,Electron Microscopy,0
1987,Electron Microscopy,0
1988,Electron Microscopy,0
1989,Electron Microscopy,0
1990,Electron Microscopy,0
1991,Electron Microscopy,0
1992,Electron Microscopy,0
1993,Electron Microscopy,0
1994,Electron Microscopy,0
1995,Electron Microscopy,0
1996,Electron Microscopy,0
1997,Electron Microscopy,1
1998,Electron Microscopy,0
1999,Electron Microscopy,1
2000,Electron Microscopy,48
2001,Electron Microscopy,16
2002,Electron Microscopy,75
2003,Electron Microscopy,95
2004,Electron Microscopy,45
2005,Electron Microscopy,79
2006,Electron Microscopy,120
2007,Electron Microscopy,28
2008,Electron Microscopy,221
2009,Electron Microscopy,158
2010,Electron Microscopy,135
2011,Electron Microscopy,268
2012,Electron Microscopy,203
2013,Electron Microscopy,358
2014,Electron Microscopy,5185
2015,Electron Microscopy,3000
2016,Electron Microscopy,6232
2017,Electron Microscopy,6524
2018,Electron Microscopy,9581
2019,Electron Microscopy,13209
2020,Electron Microscopy,24037
2021,Electron Microscopy,20768
2022,Electron Microscopy,29991
2023,Electron Microscopy,32922
2024,Electron Microscopy,37045
